# Who MAKES each product family, hand-curated.
#
# ⚠⚠ ONLY CURATED ROWS RENDER, and there is no automatic tier here at all. Every
# other claim on a family page is about a CONTRACT; this one is about a named
# COMPANY, where being wrong is a different kind of wrong. A family with no row
# here renders "Maker not yet identified", which is the honest state for 794 of
# the 814 families today.
#
# ⚠⚠ SOURCES MUST BE STABLE URLs. The `verify_license_identities.py` pass cites
# Google grounding redirects (vertexaisearch.cloud.google.com/...), and those
# EXPIRE -- measured 2026-09-18, every one of them now returns 404. A citation
# that dies is worse than none, because it reads as evidence. Cite the maker's
# own canonical site, a regulator's filing, or a stable encyclopaedia entry.
# ⚠ Two of these return 403 to an automated fetch (hexagon.com, gartner.com).
# That is bot-blocking, not a missing page -- the documented www.nyc.gov case.
#
# ⚠⚠ `maker_vendor_id` IS LOOKED UP, NEVER GUESSED FROM A NAME. Verified against
# the `vendors` table on 2026-09-18. Two things that lookup found:
#   * substring matching would be a disaster here. `%HEXAGON%` returns HEXAGON
#     CONSTRUCTION & ELECTRICAL GROUP INC and Hexagon Group Inc -- different
#     companies sharing a word -- and `%BROADCOM%`/`%CA TECHNOLOG%` return
#     WCA TECHNOLOGIES INC and Corsica Technologies LLC, which are neither.
#   * most makers hold SEVERAL registrations (AT&T three, ConvergeOne three,
#     LexisNexis four). The id here is the one whose registered name IS the
#     maker's corporate name; where none is, the column is blank.
# A BLANK maker_vendor_id is a finding, not a gap: Broadcom and Octave are not
# registered City vendors at all, so every dollar reaches them through a
# reseller. The card says so.
#
# maker_kind:
#   company          - it makes the software
#   service-provider - it sells a service delivered through software, so "who
#                      makes the product" is the wrong question (the classifier's
#                      own rationale already says this for Gartner and Summer)
#   bundle           - somebody else's product, resold with the seller's own
#                      service wrapped around it
#
# `why` is PUBLIC and renders on the page. Keep it about the company, never
# about our figures -- the page computes those beside it.
family,maker,maker_kind,maker_vendor_id,parent,formerly,hq,ticker,website,source_url,as_of,why
Microsoft,Microsoft Corporation,company,1632138,,,"Redmond, Washington",MSFT,https://www.microsoft.com,https://www.microsoft.com/en-us/investor,2026-09-18,"Registered as a City vendor in its own right, but the enterprise agreement is bought through Dell Marketing -- which is why the City's payments to Microsoft do not add up to what it spends on Microsoft software."
Axon,"Axon Enterprise, Inc.",company,1647619,,"TASER International, Inc.","Scottsdale, Arizona",AXON,https://www.axon.com,https://en.wikipedia.org/wiki/Axon_Enterprise,2026-09-18,"Renamed from TASER International in 2017 as body cameras and the Evidence.com platform overtook the weapons business. Sells the hardware and the evidence-management subscription together."
Intergraph CAD,Octave,company,,,Intergraph Corporation; then Hexagon AB,"Stockholm, Sweden",,https://hexagon.com/products/intergraph-computer-aided-dispatch,https://hexagon.com/company/newsroom/press-releases/2025/octave-unveiledhexagon-reveals-name-for-potential-2026-company-spin-off,2026-09-18,"Three corporate owners for one product line: Intergraph Corporation was acquired by Hexagon AB, and in 2026 Hexagon spun its Safety, Infrastructure & Geospatial division out as Octave, an independent public company. The dispatch suite is now Octave I/CAD. ⚠ The City's contract is with Intergraph Corporation, two steps back; Octave itself is not a registered City vendor."
NICE,NICE Ltd.,company,1654864,,,"Ra'anana, Israel",NICE,https://www.nice.com,https://www.nice.com/about-nice,2026-09-18,"Call-recording and contact-centre software. The same platform underneath the City's separately-contracted ConvergeOne call-centre service, which is built on NICE CXone."
Casebuilder,"SoundThinking, Inc.",company,1654198,,"ShotSpotter, Inc.","Fremont, California",SSTI,https://www.soundthinking.com,https://www.soundthinking.com/investor-relations/,2026-09-18,"Same maker as the City's separately-contracted gunshot-detection system. Casebuilder is its investigation-management product, previously sold as CrimeCenter and ShotSpotter Investigate."
SoundThinking (ShotSpotter),"SoundThinking, Inc.",company,1654198,,"ShotSpotter, Inc.","Fremont, California",SSTI,https://www.soundthinking.com,https://www.soundthinking.com/investor-relations/,2026-09-18,"Renamed from ShotSpotter in 2023 as the company broadened past gunshot detection. It also makes Casebuilder, which the City buys on a separate contract -- two families here, one vendor relationship."
Summer,"Summer, PBC",service-provider,2024688,,,"New York, New York",,https://www.meetsummer.com,https://www.nyc.gov/site/dcas/news/008-25/mayor-adams-student-loan-benefits-company-summer-launch-partnership-help-wipe-out-estimated,2026-09-18,"A public benefit corporation selling student-loan repayment advice to employers, priced per participant. The City announced the partnership itself. Not a software licence: the platform is how the advice is delivered, not the thing bought."
Geotab,Geotab Inc.,company,1942351,,,"Oakville, Ontario",,https://www.geotab.com,https://www.geotab.com/about/,2026-09-18,"Privately held Canadian telematics maker. Its platform is also what the City's separate AT&T Vehicle Tracking contract runs on, so two families here share one underlying product."
Ivalua,Ivalua,company,1845404,,Directworks,"Redwood City, California",,https://www.ivalua.com,https://www.ivalua.com/company/about-us/,2026-09-18,"Source-to-pay procurement software. This is the platform behind PASSPort, the City's own procurement system -- so the data this analysis is built from passes through a product in it."
ConvergeOne Call Center Solution,C1,service-provider,1872405,,ConvergeOne,"Bloomington, Minnesota",,https://www.onec1.com,https://www.onec1.com/about-us,2026-09-18,"Rebranded from ConvergeOne to C1 in 2023. It integrates and runs contact-centre systems rather than making one: the software underneath this contract is NICE CXone, which the City also buys directly."
