contract_id,tech_relevant,function_category,note
# CONTRACT-GRAIN enrichment corrections, applied by seed_contract_enrichment.py
# with curated=true (which the classifier never overwrites).
#
# ⚠ THIS EXISTS BECAUSE FAMILY-GRAIN CURATION CANNOT REACH SERVICES. The licence
# seeds correct products; a misclassified SERVICE contract has no family, so its
# only correction path is here.
#
# ⚠ BLANK MEANS KEEP THE AI'S VALUE (the Microsoft-capability precedent).
# ⚠ DERIVED FROM docs/contract-review-worksheet.csv — decide there, record here.
#   Top-30-by-value review, 2026-08-12: 20 ok, 7 not-tech, 3 wrong-function.
"CT1-841-20268804141","","Hardware/infrastructure","Camera enforcement OPERATIONS for DOT — red light, fixed/mobile speed and bus lane violation issuance and processing. Genuinely a technology procurement (camera estate plus citation processing), so it stays in scope, but it is not a data platform: filed as Data/analytics it made that segment read $2.1B when the segment's real tail is ~$210M. Read with the $537.6M M&O contract from the same vendor: one ~$1.54B enforcement relationship shown as two rows."
"CT1-071-20258806286","0","","Hotel rooms and their management for homeless-services placements. Not a technology purchase in any reading; the classifier's own rationale concedes it is 'administrative and management services for hotel bookings'. At $929.1M this single row was 43% of the Data/analytics segment."
"CT1-826-20258801735","0","","⚠ THE CLASSIFIER'S OWN RATIONALE CONTRADICTS ITS FLAG: it says 'primarily a massive physical construction project for chemical facilities and water infrastructure' and still returned tech_relevant. A DEP wastewater construction change order to a Skanska joint venture; the embedded SCADA system does not make an $850.7M construction contract a technology purchase."
"MA1-857-20238800486","0","","⚠ ARGUABLE — flagged for the owner. A JP Morgan purchasing/procurement-card program ridden off NY State OGS. It is a BANKING FACILITY with a reporting portal, not a technology system: counting it as payments technology would put $464.0M of commercial card issuance into 'how NYC buys technology'. Excluded because overstating the tech universe is the worse error here, but the opposite call is defensible."
"MA1-858-20238803029","","Telecom/network","Citywide Motorola radio products and services — the DoITT public-safety radio network. Radio is communications infrastructure, so it belongs with the citywide carrier contracts rather than in generic hardware; at $323.7M the bucket choice materially changes the composition bar. Sole Source, and the largest single non-carrier communications line."
"CT1-836-20268800452","0","","Motor vehicle immobilization, towing and related services for the Sheriff (commodity: Fleet Services). Booting and towing operations; the licence-plate readers and immobilisation devices are equipment used to deliver a field service, not a technology purchase."
"CT1-816-20228800223","0","","The NYC Well / 988 crisis line operated by the Mental Health Association — 24/7 clinical crisis intervention delivered by licensed staff. The classifier's own rationale says it 'requires specialized clinical staffing', which is the argument for excluding it. Same shape as Talkspace on the licences page: a service delivered through technology is not a technology purchase."
"CT1-816-20258800203","0","","The same Mental Health Association crisis-line relationship under a later amendment, filed as Case management. Excluded for the same reason as its sibling; together the two rows put $210.9M of clinical service into the technology universe."
"CT1-057-20238805244","","ERP/financials","Ambulance invoicing, dunning and litigation for FDNY — outsourced revenue-cycle management (commodity: Accounting, Auditing and Budgeting). It is financial back-office operations with software attached, not payment processing: filing it under Payments conflated collecting EMS revenue with taking payments from the public."
"CT1-806-20248804455","0","","⚠ ARGUABLE — flagged for the owner. Prepaid Immediate Response Cards for families in HPD care, procured as an Emergency. The substance is distributing financial assistance to households; MoCaFi is a fintech, but what the City buys is benefit delivery and card logistics. Excluded on the same reasoning as the JP Morgan card program."
#
# ───────── SEGMENT REVIEW: Data/analytics, 2026-09-15 ─────────
# Top 30 of the segment = 78.7% of its $209.0M. Worksheet:
# docs/contract-review-worksheet-data-analytics.csv (15 ok / 3 not-tech /
# 1 wrong-function / 11 unsure-and-left-as-found).
#
